id,name,country,birthday,weight,height,hand,backhand,turnedPro
ilie-nastase/n008,Ilie Nastase,ROU,1946-07-19,75,183,right,unknown,1969
john-newcombe/n044,John Newcombe,AUS,1944-05-23,82,183,right,unknown,1967
jimmy-connors/c044,Jimmy Connors,USA,1952-09-02,70,178,left,two-handed,1972id,name,country,birthday,weight,height,hand,backhand,turnedPro
tom-okker/o032,Tom Okker,NED,1944-02-22,NaN,178,right,one-handed,1968
stan-smith/s060,Stan Smith,USA,1946-12-14,84,193,right,unknown,NaN
ken-rosewall/r075,Ken Rosewall,AUS,1934-11-02,61,170,right,unknown,NaN
manuel-orantes/o017,Manuel Orantes,ESP,1949-02-06,75,178,left,unknown,NaN
rod-laver/l058,Rod Laver,AUS,1938-08-09,68,173,left,unknown,NaN
jan-kodes/k049,Jan Kodes,CZE,1946-03-01,81,175,right,unknown,NaN
arthur-ashe/a063,Arthur Ashe,USA,1943-07-10,73,185,right,one-handed,1969
tom-gorman/g078,Tom Gorman,USA,1946-01-19,75,180,right,unknown,NaN
roy-emerson/e030,Roy Emerson,AUS,1936-11-03,79,183,right,unknown,NaN
marty-riessen/r055,Marty Riessen,USA,1941-12-04,79,185,right,unknown,NaN
adriano-panatta/p059,Adriano Panatta,ITA,1950-07-09,NaN,183,right,unknown,NaNid,name,country,birthday,weight,height,hand,backhand,turnedPro
adriano-panatta/p059,Adriano Panatta,ITA,1950-07-09,NaN,183,right,unknown,NaN
nikola-pilic/p080,Nikola Pilic,CRO,1939-08-27,NaN,NaN,left,unknown,NaN
roger-taylor/t050,Roger Taylor,GBR,1941-10-14,NaN,NaN,left,unknown,NaN
jaime-fillol-sr./f024,Jaime Fillol Sr.,CHI,1946-06-03,73,180,right,unknown,1968
bjorn-borg/b058,Bjorn Borg,SWE,1956-06-06,73,180,right,two-handed,1973
cliff-richey/r071,Cliff Richey,USA,1946-12-31,77,175,right,one-handed,1964
paolo-bertolucci/b129,Paolo Bertolucci,ITA,1951-08-03,82,175,right,unknown,NaN
brian-gottfried/g029,Brian Gottfried,USA,1952-01-27,75,183,right,one-handed,NaN
mark-cox/c090,Mark Cox,GBR,1943-07-05,NaN,NaN,left,unknown,NaN
cliff-drysdale/d082,Cliff Drysdale,RSA,1941-05-26,76,188,right,unknown,NaN
roscoe-tanner/t006,Roscoe Tanner,USA,1951-10-15,77,183,left,unknown,NaN
brian-fairlie/f066,Brian Fairlie,NZL,1948-06-13,NaN,NaN,right,unknown,NaN
raul-ramirez/r065,Raul Ramirez,MEX,1953-06-20,79,183,right,one-handed,NaN
dick-stockton/s090,Dick Stockton,USA,1951-02-18,82,188,right,unknown,NaN
eddie-dibbs/d026,Eddie Dibbs,USA,1951-02-23,73,170,right,unknown,NaN
john-alexander/a014,John Alexander,AUS,1951-07-04,82,191,right,unknown,NaN
vijay-amritraj/a022,Vijay Amritraj,IND,1953-12-14,86,193,right,unknown,0
guillermo-vilas/v028,Guillermo Vilas,ARG,1952-08-17,75,180,left,one-handed,NaN
karl-meiler/m055,Karl Meiler,GER,1949-04-30,75,178,right,unknown,NaN
buster-c.-mottram/m154,Buster C. Mottram,GBR,1955-04-25,NaN,NaN,right,unknown,NaN
alex-metreveli/m271,Alex Metreveli,GEO,1944-11-02,NaN,NaN,right,unknown,NaN
robert-lutz/l045,Robert Lutz,USA,1947-08-29,82,180,right,unknown,NaN
fred-stolle/s129,Fred Stolle,AUS,1938-10-08,93,191,right,unknown,1966
hans-jurgen-pohmann/p082,Hans-Jurgen Pohmann,GER,1947-05-23,NaN,NaN,right,unknown,NaN
erik-van-dillen/v049,Erik Van Dillen,USA,1951-02-21,70,183,right,unknown,NaN
colin-dibley/d076,Colin Dibley,AUS,1944-09-19,86,188,right,unknown,NaN
onny-parun/p070,Onny Parun,NZL,1947-04-15,76,188,right,unknown,NaN
patrick-proisy/p085,Patrick Proisy,FRA,1949-09-10,70,180,right,unknown,NaN
ross-case/c020,Ross Case,AUS,1951-11-01,NaN,NaN,right,unknown,NaN
raymond-moore/m118,Raymond Moore,RSA,1946-08-24,75,183,right,unknown,NaN
jiri-hrebec/h066,Jiri Hrebec,CZE,1950-09-19,NaN,NaN,right,unknown,NaN
francois-jauffret/j031,Francois Jauffret,FRA,1942-02-09,75,180,right,unknown,NaN
jurgen-fassbender/f068,Jurgen Fassbender,GER,1948-05-28,NaN,NaN,right,unknown,NaN
charlie-pasarell/p072,Charlie Pasarell,USA,1944-02-12,NaN,NaN,right,unknown,1968
clark-graebner/g079,Clark Graebner,USA,1943-11-04,80,188,right,unknown,NaN
phil-dent/d074,Phil Dent,AUS,1950-02-14,78,183,right,unknown,NaN
paul-gerken/g073,Paul Gerken,USA,1950-03-15,75,185,right,unknown,NaN
dick-crealy/c093,Dick Crealy,AUS,1944-09-18,NaN,NaN,right,unknown,NaN
geoff-masters/m139,Geoff Masters,AUS,1950-09-19,NaN,NaN,right,unknown,NaN
andrew-pattison/p074,Andrew Pattison,ZIM,1949-01-30,82,188,right,unknown,NaN
ivan-molina/m152,Ivan Molina,COL,1946-06-16,NaN,NaN,left,unknown,NaN
patrice-dominguez/d080,Patrice Dominguez,FRA,1950-01-12,70,173,left,unknown,NaN
jeff-austin/a065,Jeff Austin,USA,1951-07-05,0,0,right,unknown,0
ove-nils-bengtson/b126,Ove Nils Bengtson,SWE,1945-04-05,93,196,right,unknown,NaN
peter-szoke/s230,Peter Szoke,HUN,1947-08-08,NaN,NaN,right,unknown,NaN
harold-solomon/s065,Harold Solomon,USA,1952-09-17,59,168,right,unknown,NaN
allan-stone/s148,Allan Stone,AUS,1945-10-14,NaN,NaN,right,unknown,NaN
kjell-johansson/j032,Kjell Johansson,SWE,1951-02-12,NaN,NaN,right,unknown,NaN
martin-mulligan/m155,Martin Mulligan,ITA,1940-10-18,NaN,NaN,right,unknown,NaN
pierre-barthes/b122,Pierre Barthes,FRA,1941-09-13,NaN,NaN,right,unknown,NaN
barry-phillips-moore/p078,Barry Phillips-Moore,AUS,1937-07-09,68,173,right,unknown,NaN
boro-jovanovic/j033,Boro Jovanovic,YUG,1939-10-21,NaN,NaN,right,unknown,NaN
gerald-battrick/b124,Gerald Battrick,GBR,1947-05-27,66,178,right,unknown,NaN
georges-goven/g031,Georges Goven,FRA,1948-04-26,61,173,right,unknown,NaN
juan-gisbert-sr/g076,Juan Gisbert Sr,ESP,1942-04-05,82,188,right,unknown,1965
antonio-zugarelli/z013,Antonio Zugarelli,ITA,1950-01-17,NaN,NaN,right,unknown,NaN
zeljko-franulovic/f074,Zeljko Franulovic,CRO,1947-06-13,NaN,NaN,right,one-handed,1969
sherwood-stewart/s082,Sherwood Stewart,USA,1946-06-06,84,188,right,unknown,NaN
frank-froehling/f079,Frank Froehling,USA,1942-05-19,77,191,right,unknown,NaN
robert-maud/m140,Robert Maud,RSA,1946-08-12,78,180,right,unknown,NaN
ion-tiriac/t040,Ion Tiriac,ROU,1939-05-09,NaN,NaN,right,unknown,NaN
mike-estep/e040,Mike Estep,USA,1949-07-19,73,173,right,unknown,NaN
corrado-barazzutti/b007,Corrado Barazzutti,ITA,1953-02-19,70,178,right,unknown,NaN
jaime-pinto-bravo/p067,Jaime Pinto-Bravo,CHI,1939-10-09,NaN,NaN,right,unknown,NaN
frew-mcmillan/m111,Frew McMillan,RSA,1942-05-20,76,183,right,unknown,NaN
toshiro-sakai/s103,Toshiro Sakai,JPN,1947-11-23,NaN,NaN,right,unknown,NaN
bob--carmichael/c080,Bob Carmichael,AUS,1940-07-04,82,183,right,unknown,NaN
ismail-el-shafei/e038,Ismail El Shafei,EGY,1947-11-15,NaN,NaN,left,unknown,NaN
jeff-borowiak/b059,Jeff Borowiak,USA,1949-09-25,82,193,right,unknown,NaN
antonio-munoz/m156,Antonio Munoz,ESP,1951-03-01,NaN,NaN,right,unknown,NaN
jean-baptiste-chanfreau/c083,Jean-Baptiste Chanfreau,FRA,1947-01-17,NaN,NaN,right,unknown,NaN
hans-kary/k041,Hans Kary,AUT,1949-02-23,NaN,NaN,left,unknown,NaN
john-cooper/c171,John Cooper,AUS,1946-11-04,NaN,NaN,right,unknown,NaN
ian-fletcher/f071,Ian Fletcher,AUS,1948-12-01,NaN,NaN,right,unknown,NaN
milan-holecek/h059,Milan Holecek,CZE,1943-10-23,88,191,right,unknown,NaN
