date,ranking,name,country,age,points,tournamentsPlayed,playerUrl
1973-12-14,1,Ilie Nastase,ROU,27,0,0,https://www.atptour.com/en/players/ilie-nastase/n008/overview
1973-12-14,2,John Newcombe,AUS,29,0,0,https://www.atptour.com/en/players/john-newcombe/n044/overview
1973-12-14,3,Jimmy Connors,USA,21,0,0,https://www.atptour.com/en/players/jimmy-connors/c044/overview
1973-12-14,4,Tom Okker,NED,29,0,0,https://www.atptour.com/en/players/tom-okker/o032/overview
1973-12-14,5,Stan Smith,USA,27,0,0,https://www.atptour.com/en/players/stan-smith/s060/overview
1973-12-14,6,Ken Rosewall,AUS,39,0,0,https://www.atptour.com/en/players/ken-rosewall/r075/overview
1973-12-14,7,Manuel Orantes,ESP,24,0,0,https://www.atptour.com/en/players/manuel-orantes/o017/overview
1973-12-14,8,Rod Laver,AUS,35,0,0,https://www.atptour.com/en/players/rod-laver/l058/overview
1973-12-14,9,Jan Kodes,CZE,27,0,0,https://www.atptour.com/en/players/jan-kodes/k049/overview
1973-12-14,10,Arthur Ashe,USA,30,0,0,https://www.atptour.com/en/players/arthur-ashe/a063/overview
1973-12-14,11,Tom Gorman,USA,27,0,0,https://www.atptour.com/en/players/tom-gorman/g078/overview
1973-12-14,12,Roy Emerson,AUS,37,0,0,https://www.atptour.com/en/players/roy-emerson/e030/overview
1973-12-14,13,Marty Riessen,USA,32,0,0,https://www.atptour.com/en/players/marty-riessen/r055/overview
1973-12-14,14,Adriano Panatta,ITA,23,0,0,https://www.atptour.com/en/players/adriano-panatta/p059/overview
1973-12-14,15,Nikola Pilic,CRO,34,0,0,https://www.atptour.com/en/players/nikola-pilic/p080/overview
1973-12-14,16,Roger Taylor,GBR,32,0,0,https://www.atptour.com/en/players/roger-taylor/t050/overview
1973-12-14,17,Jaime Fillol Sr.,CHI,27,0,0,https://www.atptour.com/en/players/jaime-fillol-sr./f024/overview
1973-12-14,18,Bjorn Borg,SWE,17,0,0,https://www.atptour.com/en/players/bjorn-borg/b058/overview
1973-12-14,19,Cliff Richey,USA,26,0,0,https://www.atptour.com/en/players/cliff-richey/r071/overview
1973-12-14,20,Paolo Bertolucci,ITA,22,0,0,https://www.atptour.com/en/players/paolo-bertolucci/b129/overview
1973-12-14,21,Brian Gottfried,USA,21,0,0,https://www.atptour.com/en/players/brian-gottfried/g029/overview
1973-12-14,22,Mark Cox,GBR,30,0,0,https://www.atptour.com/en/players/mark-cox/c090/overview
1973-12-14,23,Cliff Drysdale,RSA,32,0,0,https://www.atptour.com/en/players/cliff-drysdale/d082/overview
1973-12-14,24,Roscoe Tanner,USA,22,0,0,https://www.atptour.com/en/players/roscoe-tanner/t006/overview
