year,month,decimal date,average,interpolated,trend,ndays,foo
1958,3,1958.2027,315.70,314.43,-1,-9.99,-0.99
1958,4,1958.2877,317.45,315.16,-1,-9.99,-0.99
1958,5,1958.3699,317.51,314.71,-1,-9.99,-0.99
1958,6,1958.4548,317.24,315.14,-1,-9.99,-0.99
1958,7,1958.5370,315.86,315.18,-1,-9.99,-0.99
1958,8,1958.6219,314.93,316.18,-1,-9.99,-0.99
1958,9,1958.7068,313.20,316.08,-1,-9.99,-0.99
1958,10,1958.7890,312.43,315.41,-1,-9.99,-0.99
1958,11,1958.8740,313.33,315.20,-1,-9.99,-0.99
1958,12,1958.9562,314.67,315.43,-1,-9.99,-0.99
1959,1,1959.0411,315.58,315.55,-1,-9.99,-0.99
1959,2,1959.1260,316.48,315.86,-1,-9.99,-0.99
1959,3,1959.2027,316.65,315.38,-1,-9.99,-0.99
1959,4,1959.2877,317.72,315.41,-1,-9.99,-0.99
1959,5,1959.3699,318.29,315.49,-1,-9.99,-0.99
1959,6,1959.4548,318.15,316.03,-1,-9.99,-0.99
1959,7,1959.5370,316.54,315.86,-1,-9.99,-0.99
1959,8,1959.6219,314.80,316.06,-1,-9.99,-0.99
1959,9,1959.7068,313.84,316.73,-1,-9.99,-0.99
1959,10,1959.7890,313.33,316.33,-1,-9.99,-0.99
1959,11,1959.8740,314.81,316.68,-1,-9.99,-0.99
1959,12,1959.9562,315.58,316.35,-1,-9.99,-0.99
1960,1,1960.0410,316.43,316.40,-1,-9.99,-0.99
1960,2,1960.1257,316.98,316.36,-1,-9.99,-0.99
1960,3,1960.2049,317.58,316.28,-1,-9.99,-0.99
1960,4,1960.2896,319.03,316.70,-1,-9.99,-0.99
1960,5,1960.3716,320.04,317.22,-1,-9.99,-0.99
1960,6,1960.4563,319.59,317.47,-1,-9.99,-0.99
1960,7,1960.5383,318.18,317.52,-1,-9.99,-0.99
1960,8,1960.6230,315.90,317.19,-1,-9.99,-0.99
1960,9,1960.7077,314.17,317.08,-1,-9.99,-0.99
1960,10,1960.7896,313.83,316.83,-1,-9.99,-0.99
1960,11,1960.8743,315.00,316.88,-1,-9.99,-0.99
1960,12,1960.9563,316.19,316.96,-1,-9.99,-0.99
1961,1,1961.0411,316.89,316.86,-1,-9.99,-0.99
1961,2,1961.1260,317.70,317.08,-1,-9.99,-0.99
1961,3,1961.2027,318.54,317.26,-1,-9.99,-0.99
1961,4,1961.2877,319.48,317.16,-1,-9.99,-0.99
1961,5,1961.3699,320.58,317.76,-1,-9.99,-0.99
1961,6,1961.4548,319.77,317.63,-1,-9.99,-0.99
1961,7,1961.5370,318.57,317.88,-1,-9.99,-0.99
1961,8,1961.6219,316.79,318.06,-1,-9.99,-0.99
1961,9,1961.7068,314.99,317.90,-1,-9.99,-0.99
1961,10,1961.7890,315.31,318.32,-1,-9.99,-0.99
1961,11,1961.8740,316.10,317.99,-1,-9.99,-0.99
1961,12,1961.9562,317.01,317.79,-1,-9.99,-0.99
1962,1,1962.0411,317.94,317.91,-1,-9.99,-0.99
1962,2,1962.1260,318.55,317.92,-1,-9.99,-0.99
1962,3,1962.2027,319.68,318.39,-1,-9.99,-0.99
1962,4,1962.2877,320.57,318.24,-1,-9.99,-0.99
1962,5,1962.3699,321.02,318.18,-1,-9.99,-0.99
1962,6,1962.4548,320.62,318.47,-1,-9.99,-0.99
1962,7,1962.5370,319.61,318.92,-1,-9.99,-0.99
1962,8,1962.6219,317.40,318.68,-1,-9.99,-0.99
1962,9,1962.7068,316.25,319.17,-1,-9.99,-0.99
1962,10,1962.7890,315.42,318.45,-1,-9.99,-0.99
1962,11,1962.8740,316.69,318.58,-1,-9.99,-0.99
1962,12,1962.9562,317.70,318.47,-1,-9.99,-0.99
1963,1,1963.0411,318.74,318.70,-1,-9.99,-0.99
1963,2,1963.1260,319.07,318.44,-1,-9.99,-0.99
1963,3,1963.2027,319.86,318.57,-1,-9.99,-0.99
1963,4,1963.2877,321.38,319.05,-1,-9.99,-0.99
1963,5,1963.3699,322.25,319.40,-1,-9.99,-0.99
1963,6,1963.4548,321.48,319.32,-1,-9.99,-0.99
1963,7,1963.5370,319.74,319.05,-1,-9.99,-0.99
1963,8,1963.6219,317.77,319.05,-1,-9.99,-0.99
1963,9,1963.7068,316.21,319.14,-1,-9.99,-0.99
1963,10,1963.7890,315.99,319.02,-1,-9.99,-0.99
1963,11,1963.8740,317.07,318.97,-1,-9.99,-0.99
1963,12,1963.9562,318.35,319.13,-1,-9.99,-0.99
1964,1,1964.0410,319.57,319.54,-1,-9.99,-0.99
1964,2,1964.1257,320.01,319.37,-1,-9.99,-0.99
1964,3,1964.2049,320.74,319.41,-1,-9.99,-0.99
1964,4,1964.2896,321.84,319.45,-1,-9.99,-0.99
1964,5,1964.3716,322.26,319.40,-1,-9.99,-0.99
1964,6,1964.4563,321.89,319.75,-1,-9.99,-0.99
1964,7,1964.5383,320.44,319.77,-1,-9.99,-0.99
1964,8,1964.6230,318.69,320.00,-1,-9.99,-0.99
1964,9,1964.7077,316.70,319.66,-1,-9.99,-0.99
1964,10,1964.7896,316.87,319.91,-1,-9.99,-0.99
1964,11,1964.8743,317.68,319.58,-1,-9.99,-0.99
1964,12,1964.9563,318.71,319.49,-1,-9.99,-0.99
1965,1,1965.0411,319.44,319.40,-1,-9.99,-0.99
1965,2,1965.1260,320.44,319.81,-1,-9.99,-0.99
1965,3,1965.2027,320.89,319.59,-1,-9.99,-0.99
1965,4,1965.2877,322.14,319.78,-1,-9.99,-0.99
1965,5,1965.3699,322.17,319.30,-1,-9.99,-0.99
1965,6,1965.4548,321.87,319.70,-1,-9.99,-0.99
1965,7,1965.5370,321.21,320.51,-1,-9.99,-0.99
1965,8,1965.6219,318.87,320.15,-1,-9.99,-0.99
1965,9,1965.7068,317.81,320.77,-1,-9.99,-0.99
1965,10,1965.7890,317.30,320.36,-1,-9.99,-0.99
1965,11,1965.8740,318.87,320.78,-1,-9.99,-0.99
1965,12,1965.9562,319.42,320.20,-1,-9.99,-0.99
1966,1,1966.0411,320.62,320.59,-1,-9.99,-0.99
1966,2,1966.1260,321.60,320.96,-1,-9.99,-0.99
1966,3,1966.2027,322.39,321.08,-1,-9.99,-0.99
1966,4,1966.2877,323.70,321.34,-1,-9.99,-0.99
1966,5,1966.3699,324.08,321.20,-1,-9.99,-0.99
1966,6,1966.4548,323.75,321.57,-1,-9.99,-0.99
1966,7,1966.5370,322.38,321.68,-1,-9.99,-0.99
1966,8,1966.6219,320.36,321.65,-1,-9.99,-0.99
1966,9,1966.7068,318.64,321.60,-1,-9.99,-0.99
1966,10,1966.7890,318.10,321.17,-1,-9.99,-0.99
1966,11,1966.8740,319.78,321.70,-1,-9.99,-0.99
1966,12,1966.9562,321.03,321.81,-1,-9.99,-0.99
1967,1,1967.0411,322.33,322.29,-1,-9.99,-0.99
1967,2,1967.1260,322.50,321.86,-1,-9.99,-0.99
1967,3,1967.2027,323.04,321.73,-1,-9.99,-0.99
1967,4,1967.2877,324.42,322.04,-1,-9.99,-0.99
1967,5,1967.3699,325.00,322.12,-1,-9.99,-0.99
1967,6,1967.4548,324.09,321.91,-1,-9.99,-0.99
1967,7,1967.5370,322.54,321.84,-1,-9.99,-0.99
1967,8,1967.6219,320.92,322.21,-1,-9.99,-0.99
1967,9,1967.7068,319.25,322.23,-1,-9.99,-0.99
1967,10,1967.7890,319.39,322.47,-1,-9.99,-0.99
1967,11,1967.8740,320.73,322.65,-1,-9.99,-0.99
1967,12,1967.9562,321.96,322.75,-1,-9.99,-0.99
1968,1,1968.0410,322.57,322.54,-1,-9.99,-0.99
1968,2,1968.1257,323.15,322.51,-1,-9.99,-0.99
1968,3,1968.2049,323.89,322.55,-1,-9.99,-0.99
1968,4,1968.2896,325.02,322.62,-1,-9.99,-0.99
1968,5,1968.3716,325.57,322.68,-1,-9.99,-0.99
1968,6,1968.4563,325.36,323.19,-1,-9.99,-0.99
1968,7,1968.5383,324.14,323.46,-1,-9.99,-0.99
1968,8,1968.6230,322.11,323.43,-1,-9.99,-0.99
1968,9,1968.7077,320.33,323.32,-1,-9.99,-0.99
1968,10,1968.7896,320.25,323.33,-1,-9.99,-0.99
1968,11,1968.8743,321.32,323.25,-1,-9.99,-0.99
1968,12,1968.9563,322.89,323.69,-1,-9.99,-0.99
1969,1,1969.0411,324.00,323.97,-1,-9.99,-0.99
1969,2,1969.1260,324.42,323.77,-1,-9.99,-0.99
1969,3,1969.2027,325.63,324.31,-1,-9.99,-0.99
1969,4,1969.2877,326.66,324.27,-1,-9.99,-0.99
1969,5,1969.3699,327.38,324.48,-1,-9.99,-0.99
1969,6,1969.4548,326.71,324.51,-1,-9.99,-0.99
1969,7,1969.5370,325.88,325.17,-1,-9.99,-0.99
1969,8,1969.6219,323.66,324.97,-1,-9.99,-0.99
1969,9,1969.7068,322.38,325.37,-1,-9.99,-0.99
1969,10,1969.7890,321.78,324.88,-1,-9.99,-0.99
1969,11,1969.8740,322.86,324.79,-1,-9.99,-0.99
1969,12,1969.9562,324.12,324.91,-1,-9.99,-0.99
1970,1,1970.0411,325.06,325.03,-1,-9.99,-0.99
1970,2,1970.1260,325.98,325.34,-1,-9.99,-0.99
1970,3,1970.2027,326.93,325.61,-1,-9.99,-0.99
1970,4,1970.2877,328.13,325.74,-1,-9.99,-0.99
1970,5,1970.3699,328.08,325.16,-1,-9.99,-0.99
1970,6,1970.4548,327.67,325.46,-1,-9.99,-0.99
1970,7,1970.5370,326.34,325.63,-1,-9.99,-0.99
1970,8,1970.6219,324.69,325.99,-1,-9.99,-0.99
1970,9,1970.7068,323.10,326.10,-1,-9.99,-0.99
1970,10,1970.7890,323.06,326.18,-1,-9.99,-0.99
1970,11,1970.8740,324.01,325.95,-1,-9.99,-0.99
1970,12,1970.9562,325.13,325.93,-1,-9.99,-0.99
1971,1,1971.0411,326.17,326.14,-1,-9.99,-0.99
1971,2,1971.1260,326.68,326.03,-1,-9.99,-0.99
1971,3,1971.2027,327.17,325.85,-1,-9.99,-0.99
1971,4,1971.2877,327.79,325.38,-1,-9.99,-0.99
1971,5,1971.3699,328.93,326.00,-1,-9.99,-0.99
1971,6,1971.4548,328.57,326.36,-1,-9.99,-0.99
1971,7,1971.5370,327.36,326.65,-1,-9.99,-0.99
1971,8,1971.6219,325.43,326.74,-1,-9.99,-0.99
1971,9,1971.7068,323.36,326.37,-1,-9.99,-0.99
1971,10,1971.7890,323.56,326.69,-1,-9.99,-0.99
1971,11,1971.8740,324.80,326.75,-1,-9.99,-0.99
1971,12,1971.9562,326.01,326.82,-1,-9.99,-0.99
1972,1,1972.0410,326.77,326.73,-1,-9.99,-0.99
1972,2,1972.1257,327.63,326.98,-1,-9.99,-0.99
1972,3,1972.2049,327.75,326.39,-1,-9.99,-0.99
1972,4,1972.2896,329.72,327.29,-1,-9.99,-0.99
1972,5,1972.3716,330.07,327.14,-1,-9.99,-0.99
1972,6,1972.4563,329.09,326.88,-1,-9.99,-0.99
1972,7,1972.5383,328.04,327.36,-1,-9.99,-0.99
1972,8,1972.6230,326.32,327.67,-1,-9.99,-0.99
1972,9,1972.7077,324.84,327.87,-1,-9.99,-0.99
1972,10,1972.7896,325.20,328.33,-1,-9.99,-0.99
1972,11,1972.8743,326.50,328.45,-1,-9.99,-0.99
